Title,Abstract,Year,Authors,Source title,Author Keywords,Index Keywords,Cited by,Affiliations,DOI,Document Type,Language of Original Document
Enhancing Cyber Forensics Education: Real-World Engagement and Skill Development in Practice,"Cyber forensics education must bridge the persistent divide between theoretical rigour and professional readiness. This paper presents a practitioner-centred model integrating capstone projects, laboratory exercises, and reflective pedagogy to develop both technical and transferable skills. Drawing on student participation across multiple cyber forensics courses, it explores how structured mentorship, authentic assessment, and exposure to regulatory frameworks enhance employability and professional identity. Findings indicate that well-scaffolded experiential learning—supported by reflection, governance awareness, and responsible innovation in artificial intelligence (AI)—cultivates analytical competence, communication ability, and ethical awareness. Embedding authentic practice within higher education produces graduates capable of contributing effectively to modern forensic investigations and organisational resilience. © 2026 Australian Academy of Forensic Sciences.",2026,Antony B.; Cleary R.,Australian Journal of Forensic Sciences,Artificial intelligence (AI) literacy; Cyber forensics education; Experiential learning; Industry ready graduates; Professional competency development; Teaching digital evidence analysis,Not Available,0,"Cyber Forensics Research Lab, CFLAcademy, Auckland, New Zealand; CyberForensics Ltd, Auckland, New Zealand",10.1080/00450618.2026.2617330,Article,English
Profiling employability skills for life cycle professionals amid the circular and digital economy,"Purpose: This study aims to identify the most in-demand employability skills for Life Cycle Assessment (LCA) professionals by analysing job advertisements through textual big data techniques. The research addresses four main questions: (a) which skills are most frequently required for LC-related roles; (b) what thematic areas emerge in the skill profiles of LC professionals; (c) how these skills are correlated and co-requested across job postings; and (d) how future demand for key skills may evolve. The goal is to support employers, educators, and professionals in understanding the shifting landscape of skill requirements within sustainability-oriented industries, especially in light of the circular and digital twin transition. Methods: Using a text mining approach, a corpus of 32,783 job descriptions relevant to life cycle professionals were obtained from major US job portals. Term frequency, stylometry, clustering and topic modeling identified critical skills in this domain. Subsequently, Markov Chain Monte Carlo simulations were applied to model interview scenarios and analyze skill correlations. Results and discussion: Results revealed that the most frequently requested skills for life cycle professionals include energy transition planning, carbon footprint analysis, and environmental legislation compliance, indicating a strong emphasis on sustainability practices. Topic modeling and network analysis identified significant correlations between skills such as project management and performance quality management, underscoring their co-requirement in job ads. Conclusions: Findings demonstrate that life cycle professionals must possess a comprehensive skill set that balances technical competencies in sustainability with leadership and project management abilities. As environmental regulations and corporate sustainability targets evolve, professionals with expertise in energy transition and environmental impact will be highly sought after. These results provide valuable insights for professionals aiming to remain competitive in a rapidly changing job market. Limitations: The study’s data collection concluded in September 2024. Consequently, any trend changes beyond this point are not reflected, and would need to be addressed in subsequent studies. Furthermore, the methods employed in this study, while valuable and comprehensive, come with inherent limitations. Despite these constraints, significant insights into the skill requirements and employability landscape for life cycle professionals were provided. Recommendations: It is recommended that both educational institutions and employers prioritize the development of the identified skills in their training programs. Additionally, further research would provide the opportunity to explore how emerging technologies, such as AI and machine learning, as well as regulatory shifts may impact the future demand for specific competencies in the field. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2025.",2025,Smaldone F.; Lagger J.; Mainolfi G.,International Journal of Life Cycle Assessment,Employability; Life cycle professionals; Markov Chain Monte Carlo; Profiling; Skills network analysis; Text mining,Job analysis; Marketing; Quality of service; Employability; Employability skills; Life cycle professional; Markov chain Monte Carlo; Markov Chain Monte-Carlo; Profiling; Skill network analyze; Skill requirements; Text-mining; Topic Modeling; adult; advertising; article; big data; carbon footprint; digital twin; economic aspect; employability; environmental impact; environmental law; epidemiology; female; Germany; human; interview; job market; leadership; legal compliance; life cycle; life cycle assessment; machine learning; male; Markov chain Monte Carlo method; Monte Carlo method; network analysis; prevention; skill; total quality management; Project management,1,"Department of Economics and Business Sciences, Guglielmo Marconi University, Rome, Italy; School of Management, University of Bath, Bath, United Kingdom; Department of International Humanities and Social Sciences, University of International Studies of Rome (UNINT), Rome, Italy",10.1007/s11367-025-02490-3,Article,English
Vocational Education students' beliefs about the use of generative artificial intelligence in teaching and learning; [Creencias del alumnado de Formación Profesional sobre el uso de la inteligencia artificial generativa en la enseñanza y el aprendizaje],"Artificial Intelligence is profoundly transforming employment, directly affecting students in Vocational Education and Training (VET). At the same time, the use of Generative Artificial Intelligence (GenAI) in educational contexts is becoming increasingly common. However, its impact largely depends on how it is integrated into teaching and learning practices. This study explores VET students' beliefs regarding the incorporation of GenAI into education. To this end, a previously validated questionnaire (Cabellos et al., 2024) was administered to 566 students enrolled in intermediate and advanced vocational training programs. The results show that students generally hold a positive attitude toward the use of GenAI, especially when it is employed by teachers for lesson planning and assessment. In addition, students with constructivist pedagogical beliefs and prior experience with GenAI tools expressed more favorable views toward its educational integration. These findings highlight the importance of incorporating GenAI into education from a constructivist perspective, one that fosters student-centered teaching. Only in this way can key competencies such as critical thinking and decision-making be developed skills that are essential not only for adapting to the future of work, but also for playing an active role in shaping it. © (2025), (RED. Revista de Educación a Distancia). All rights reserved.",2026,Cabellos B.; Aldama C.D.; Pozo J.I.,Revista de Educacion a Distancia,Creencias hacia la IAg; creencias pedagógicas; enseñanza centrada en el estudiante; Formación Profesional; GenAI beliefs; GenAI use; pedagogical beliefs; student-centered teaching; uso de la IAg; vocational education,Not Available,0,"Universidad Rey Juan Carlos, Alcorcón, Spain; Universidad Complutense de Madrid, Madrid, Spain; Universidad Autónoma de Madrid, Madrid, Spain",10.6018/red.671331,Article,Spanish
Exploiting the technology-driven structural shift to creative work in regional catching-up: toward an institutional framework,"The development and application of technologies such as robots and artificial intelligence drive a shift toward non-routinized, creative work. A stylized narrative is that a few regions dominate the making of these technologies and enjoy a virtuous cycle of increasing employment, innovativeness, and in-migration of the creative class. Regions merely applying these technologies may get into a vicious cycle of increasing unemployment, out-migration, and decreasing innovativeness. Following the normative governance turn in regional political economics, this theoretical policy paper pitches a framework of three complementary institutions to direct the technology-driven structural change for regional catching-up. Firstly, a system for innovation and entrepreneurial activity creates jobs by supporting exploitation of complementarities of application, co-development activities, and product innovation within mature and emerging sectors. Secondly, education provides creative and entrepreneurial skills to exploit technological opportunities and upskills workers for emerging sectors. Thirdly, labour market and social security institutions are to allow rationalization in mature sectors, incentivize hiring and learning on the job, as well as encourage innovative ventures, notably in emerging sectors. Challenges of implementation of the framework due to path-dependence, co-evolution, and multi-scalarity as well as applicability in different varieties of capitalism are examined. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",2022,Vermeulen B.; Psenner E.,European Planning Studies,catching-up; creative work; institution; regional development; Structural change; technological change,Not Available,8,"Institute of Economics, University of Hohenheim, Stuttgart, Germany; Institut für Qualifizierende Innovationsforschung & -Beratung GmbH (IQIB), Bad Neuenahr-Ahrweiler, Germany; Institute for Geography, Leipzig University, Leipzig, Germany; Landesverband der Kultur- und Kreativwirtschaft Sachsen e.V., Leipzig, Germany; Institute for Regional Development, EURAC Research, Bolzano, Italy",10.1080/09654313.2022.2028737,Article,English
"Navigating uncertainty: The interplay of future job forecasting, learning agility, responsiveness, and adaptability","Background: According to the 2023 World Economic Forum report, the impact of Artificial Intelligence (AI) and automation on the job market was more significant than originally projected. Although 2018 research forecasted significant job losses balanced by job creation, current data indicates otherwise. Between 2023 and 2027, it is anticipated that 69 million new jobs will be created due to advancements in AI, however, this will be offset by the loss of 83 million jobs, leading to a net decrease of 14 million jobs worldwide. Roles related to AI, digitalization, and sustainability, such as AI specialists and renewable energy engineers are expected to grow, while those in clerical and administrative sectors are most at risk of decline. This shift underscores the need for reskilling and adapting to evolving fields, as nearly 44% of workers skills will face disruption by 2027. The demand for analytical thinking, technological literacy, and adaptability will grow as companies increasingly adopt frontier technologies. Objectives: (1) identify key variables influencing adaptability of college graduates in Indonesia, (2) quantify the strength of relationships between these variables to understand the combined effect on graduate adaptability. The research also aims to (3) develop theoretical and practical recommendations to strengthen ICIL policy and equip students with the relevant skills needed to thrive in an ever-changing job market. Methodology: The research focuses on predicting future employment trends, adaptability, and learning agility (LA), along with the implications for improving the Independent Campus Independent Learning (ICIL) policy. It focused on the significant unemployment rate among college graduates, along with the lack of research on the relationship between job change predictions, graduates’ adaptability, and the impact on graduates’ general well-being. The mixed-method strategy with quantitative analysis was used to conduct this research with data collected from 284 ICIL participants through online survey. The gathered data was evaluated using Structural Equation Modeling (SEM) with Lisrel version 10. Results: The result showed that job trend projections significantly influence responsiveness, which demonstrated a robust association between employment trend predictions and LA. Responsiveness significantly influenced learning agility which indicated no significant direct association between job trend projections and graduate adaptability. Conclusion: The research emphasized the need to consider adaptability as a concept with multiple dimensions. It proposed incorporating these factors into strategies for education and human resources development in order to better equip graduates for the demands of a constantly changing work market. Unique contribution: This research focused on adaptability as a multifaceted concept that consist of the ability to forecast job trends, be sensitive, and possess LA. It offered a deeper understanding of the relationships between these variables as discussed in the human resources literature. Technology, corporate culture, and training played a critical role in connecting employment trend prediction with the ability to respond effectively. Key recommendation: Institutions should implement a comprehensive approach to the development of human resources, with emphasis on fostering critical thinking, analytical abilities, and the practical application of information. By employing these tactics, higher education institutions may effectively equip graduates with both academic proficiency and the ability to adapt and thrive in quickly changing organizational environments, leading to the production of robust and versatile workers. © 2024 by author(s).",2024,Saefullah E.; Suseno B.D.; Rohaeni N.,"Journal of Infrastructure, Policy and Development",digital technology revolution; job prediction; learning agility; navigating uncertainty; responsive attitudes,Not Available,3,"Bina Bangsa University, Banten, Kota Serang, 42124, Indonesia",10.24294/jipd.v8i12.8845,Article,English
Can AI teach me employability? A multi-national study in three countries,"This paper examines the impact of using an Artificial Intelligence (AI) teacher for current Higher Education (HE) students from three countries. The study utilized an AI avatar powered by a fine-tuned Large Language Model (LLM), OIMISA, which is trained solely for teaching and learning applications. The AI teacher provided a 9-lesson course on employability and transferable skills. In total 207 students across the three institutions enrolled in the programme. The results demonstrate a noteworthy completion rate of over 47%, along with high levels of engagement across all student cohorts and high satisfaction rates from the students. These show the potential for AI-based virtual teachers across countries for students of HE compared to the use of MOOC platforms. Copyright © 2024 Aditya, Silvestri and Otermans.",2024,Aditya D.; Silvestri K.; Otermans P.C.J.,Frontiers in Artificial Intelligence,AI in higher education; AI teacher; conversational AI; LLM for teaching; MOOC platform,Not Available,7,"Otermans Institute, London, United Kingdom; Division of Psychology, Uxbridge Brunel University of London, London, United Kingdom",10.3389/frai.2024.1461158,Article,English
Is College Education Less Necessary with AI? Evidence from Firm-Level Labor Structure Changes,"As a general-purpose technology, artificial intelligence (AI) is expected to transform almost all industries and aspects of our society. Thus, it is important to understand the potential changes within the firms related to how AI applications change their labor force. Using a panel dataset with over 1,300 publicly-traded companies in China from 2007 to 2018, we examine the relationship between AI applications and firm labor structure with workers with or without formal college education. The study indicates that AI applications were positively associated with the overall employment as well as the employment of nonacademically- trained workers with no college degrees at the firm level. These associations were more significant in the service sector than in the manufacturing sector. Further causal analysis shows increasing AI applications have a positive effect on a firm’s employment of nonacademically-trained workers and its overall employment but a negative effect on academically-trained workers. We attribute the findings to the technology deskilling effect of AI. The findings suggest that, in response to the potential labor force transformation with increasing AI applications, information-systems research needs to focus on structural changes of labor forces and the implications for preparing human employees to work with AI side by side. © 2022 Taylor & Francis Group, LLC.",2022,Xue M.; Cao X.; Feng X.; Gu B.; Zhang Y.,Journal of Management Information Systems,Artificial intelligence; augmentation effect; automation effect; information technology; job polarization; labor structure; skill-biased technological change; technology-enabled deskilling,Employment; Engineering education; Augmentation effect; Automation effect; Deskilling; Job polarization; Labor force; Labor structure; Skill-biased technological change; Technological change; Technology-enabled deskilling; Workers'; Artificial intelligence,82,"Carroll School of Management, Boston College, Chestnut Hill, United States; School of Management, Harbin Institute of Technology, Harbin, China; College of Management and Economics, Tianjin University, Tianjin, China; Questrom School of Business, Boston University, Boston, United States",10.1080/07421222.2022.2096542,Article,English
Predicting Graduate Employability Using Hybrid AHP-TOPSIS and Machine Learning: A Moroccan Case Study,"The persistent issue of unemployment and the mismatch between graduate skills and labor market demands has drawn increasing attention from academics and educational institutions, especially in light of rapid advancements in technology. Emerging technologies such as Artificial Intelligence (AI) and Machine Learning (ML) offer valuable opportunities to analyze job market dynamics. In this work, we present a novel framework aimed at predicting graduate employability using current labor market data from Morocco. Our approach combines Multi-Criteria Decision-Making (MCDM) techniques with ML-based predictive models. AHP prioritizes employability factors and TOPSIS ranks skill demands—together forming input features for machine learning models. 2100 job listings obtained through web scraping, we trained and evaluated several ML models. Among them, the K-Nearest Neighbors (KNN) classifier demonstrated the highest accuracy, achieving 99.71% accuracy through 5-fold cross-validation. While the study is based on a limited dataset, it highlights the practical relevance of combining MCDM methods with ML for employability prediction. This study is among the first to integrate AHP–TOPSIS with KNN for employability prediction using real-time Moroccan labor market data. © 2025 by the authors.",2025,Nouib H.; Qadech H.; Benatiya Andaloussi M.; Chowdhury S.J.; Moumen A.,Technologies,AHP; classification; education; employability; machine learning models; MCDM; TOPSIS,Analytic hierarchy process; Commerce; Decision making; Employment; Engineering education; Engineering research; Forecasting; Hierarchical systems; Learning systems; Machine learning; AHP; Employability; Labour market; Machine learning models; Machine-learning; Market data; Multi criteria decision-making; Multicriteria decision-making; Multicriterion decision makings; TOPSIS; Classification (of information),4,"National School of Applied Sciences Kenitra, University Ibn Tofail, Kénitra, 14000, Morocco; Research National School of Business and Management, Sultan Moulay Slimane University, Béni Mellal, 23000, Morocco; Faculté Polydisciplinaire de Sidi Bennour, Chouaib Doukkali University, EL Jadida, 24000, Morocco; Department of CSE, International Islamic University Chittagong, Chittagong, 4318, Bangladesh",10.3390/technologies13090385,Article,English
ChatGPT/Generative Artificial Intelligence and Employment Displacement: A Perspective Based on the Skill Supply and Demand of College University Students,"Based on 2019 sample survey data of college graduates’ employment, this article performs an empirical investigation of the status of supply and demand for, and the characteristics of, college skills in the AI era, and the role and mechanisms of higher education in difficult to substitute core skills. The study found that: (1) there is a convergence phenomenon in the higher education skill supply in China, predominantly contributing easily substitutable knowledge and technical skills; the value enhancement of core capacities such as innovation and creativity, etc., is slow, leading to the emergence of an “inverted pyramid” phenomenon in which “double first-class” colleges are outstripped by higher vocational and technical colleges, and skills development in ordinary undergraduate colleges is the most seriously affected; (2) university students predict displacement risk on the basis of past competition rules, but AI has a “polarization effect” on employment. It is estimated that the occupations of “double first-class” college graduates will be more easily displaced by AI, but their sense of crisis is weaker, and they thereby face a greater risk of displacement; (3) college are still the main battlefields in which core skills are formed, with professional courses and tuition by teachers still making the greatest contribution to problem-solving and social collaboration skills, and interdisciplinary courses having the greatest impact on the value enhancement of innovation and creativity skills. It is recommended that colleges accurately define their talent cultivation position, reconstruct the content of education courses, ensure that students obtain high-level skills to adapt to new technological requirements, and achieve a transition from “passive” to “positively driven” labor market policy. © 2026 Taylor & Francis Group, LLC.",2026,Wu B.; Zhou L.; Yue C.,Chinese Education and Society,Artificial intelligence; employment displacement; skill development; university students,Not Available,0,"Institute for Economic and Social Research, Jinan University, China; School of Education, Guangzhou University, China; Institute of Economics of Education/Graduate School of Education, Peking University, China",10.1080/10611932.2025.2583660,Article,English
"Explainable AI (XAI) for Constructing a Lexicon for Classifying Green Energy Jobs: A Comparative Analysis of Occupation, Industry, and Location Composition With Traditional Energy Jobs","Growing concerns about climate change and environmental sustainability demand a shift from traditional to green energy. Insight into the different workforce profiles of green and traditional energy supply chains is critical to manage impacts to workers in traditional energy occupations and to identify what skills and occupations are needed in green energy jobs. The role and skills descriptions captured in big datasets of online job ads have the potential to deliver these insights but considerable time and effort is required to train algorithms to differentiate job ads pertaining to traditional and green energy occupations. In addition, algorithms usually need to be developed for each dataset of interest whereas lexicon-based approaches can be adapted relatively easily. In this study, we illustrate the use of explainable AI techniques (in combination with a set of initial keywords) to build a lexicon that can be used to identify (with 82% precision rate) traditional and green energy job ads across the supply chain (from energy production to energy policy, regulation and sales). Our study demonstrates the XAI-enhanced lexicon's efficacy in uncovering differences in the industry, occupation, and geographic profile of traditional and green energy job ads. The findings provide valuable insights into the distributional consequences of the green energy transition by revealing where careful management of this transition is most needed whilst also illustrating the potential for XAI to support the development of precise and comprehensive lexicons.  © 2013 IEEE.",2024,Chen H.; Mason C.M.,IEEE Access,energy jobs classification; Explainable AI (XAI); green energy; lexicon development; workforce transition,Big data; Climate change; Commerce; Employment; Energy policy; Personnel training; Sustainable development; Advertizing; Classification algorithm; Energy; Energy job classification; Environmental factors; Explainable AI; Explainable AI (XAI); Green energy; Green products; Job classification; Lexicon; Lexicon development; Market researches; Regulation; Vocabulary; Workforce transition; Supply chains,5,"Commonwealth Scientific and Industrial Research Organisation (CSIRO), Data61, Canberra, 2601, ACT, Australia",10.1109/ACCESS.2024.3430317,Article,English
Artificial Intelligence and the Future of Engineering Profession: The Technical University Students’ Perception in the Context of Industry 4.0; [Искусственный интеллект и будущее инженерной профессии: восприятие студентов технических вузов в условиях индустрии 4.0],"Artificial intelligence is becoming an integral part of the engineering profession and the engineering education system in the era of Industry 4.0. The purpose of this study is to investigate how engineering students perceive the impact of AI on the future of the profession: the nature of work and its social status, including employment and income prospects. The study is based on the neo-Weberian approach in the sociology of professions, which views professional groups as status groups whose position in the labor market is determined by their monopoly on specialized knowledge and competencies. The empirical basis was a survey of students from technical universities in Moscow and Samara (N = 610, Bauman Moscow State Technical University, Moscow Polytechnic University, Samara University, 2024) and semi-structured expert interviews with practicing engineers and representatives of educational organizations (N = 5). The results show that students perceive AI primarily as a tool that optimizes the engineer's work, rather than displacing it. At the same time, the social consequences of AI implementation, primarily employment prospects and wages, are significantly less optimistic. A more diverse use of AI in educational and professional activities is associated with greater optimism about professional prospects. It is concluded that the higher engineering education system needs to not only integrate AI tools into the educational process, but also to create a well-founded positive vision of the profession in the context of technology economy. © Колесникова Е.М., Куденко И.А., 2026. This work is licensed under a Creative Commons Attribution 4.0 License.",2026,Kolesnikova E.M.; Kudenko I.A.,Vysshee Obrazovanie v Rossii,artificial intelligence; engineering education; engineering students; engineers; higher education; Industry 4.0; neo-Weberian approach sociology of professions; professional groups; professional perception; professional status; professionalization; professionalization; social mobility; social status; sociology of professions,Not Available,0,"Institute of Sociology Federal Center of Theoretical and Applied Sociology of the Russian Academy of Sciences, 24/35 Krzhizhanovskiy str., bld. 5, Moscow, 117218, Russian Federation; Kudenko consulting Ltd, Global Evaluation and Research Services, 40 Bischofsholer Damm, Hannover, 30173, Germany",10.31992/0869-3617-2026-35-3-114-130,Article,English
From classroom to career: How graduate attributes shape employability and entrepreneurial intentions in the UAE,"This study aims to investigate how specific graduate attributes relate to university students’ employability and entrepreneurial intentions, with a focus on higher education institutions in the United Arab Emirates (UAE). The research distinguishes between traditional and emerging attributes and examines their predictive value for distinct post-graduation pathways. A quantitative, cross-sectional survey design was adopted. Data were collected from 524 undergraduate students and analysed using multivariate multiple regression to assess the simultaneous effects of nine graduate attributes. The findings reveal that employability intention is significantly are associated with goal-directed behaviour, continuous learning, problem-solving, and the ability to present and apply information. Entrepreneurial intention, on the other hand, is more strongly predicted by enterprising behaviour, analytical thinking, and artificial intelligence literacy. Some attributes, such as ethical responsibility and interactive communication, were not significant predictors. University prestige had a minor but significant effect on employability intention, while the presence of a university incubator showed no significant relation. This study contributes to the theoretical development of graduate attribute frameworks by validating digital-era competencies and empirically distinguishing between employability and entrepreneurial orientations. It offers practical insights for higher education institutions seeking to develop curricula that better prepare graduates for diverse career outcomes. © The Author(s) 2026. This article is distributed under the terms of the Creative Commons Attribution-NonCommercial 4.0 License (https://creativecommons.org/licenses/by-nc/4.0/) which permits non-commercial use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access page (https://us.sagepub.com/en-us/nam/open-access-at-sage).",2026,Nasaj M.; Almeida F.; Pudhuparambil M.M.; Kutty S.V.,Industry and Higher Education,AI literacy; employability intention; entrepreneurial intention; graduate attributes; multivariate multiple regression,Not Available,0,"College of Business, Abu Dhabi University, Abu Dhabi, United Arab Emirates; Corvinus Institute for Advanced Studies, Corvinus University, Budapest, Hungary",10.1177/09504222261452445,Article,English
DEVELOPMENT APPROACHES TO THE ANALYSIS OF THE LABOR MARKET UNDER THE CONDITIONS OF THE ECONOMY DIGITALIZATION (ON THE CASE OF THE TEXTILE INDUSTRY OF THE REPUBLIC OF BELARUS); [ИЗМЕНЕНИЕ ПОДХОДОВ К АНАЛИЗУ КОНЪЮНКТУРЫ РЫНКА ТРУДА В УСЛОВИЯХ ЦИФРОВИЗАЦИИ ЭКОНОМИКИ (НА ПРИМЕРЕ ТЕКСТИЛЬНОЙ ПРОМЫШЛЕННОСТИ РЕСПУБЛИКИ БЕЛАРУСЬ)],"The traditional approach to the labor market estimation is analyzed and its limitations are identified. A new method for evaluation of the labor market situation in the context of economy digitalization has been developed based on the use of online job vacancies portals and details at the level of economic activities, regions, occupations and skills. A set of data about the labor market of the Republic of Belarus based on the scraping of information about 22.8 thousand job vacancies and 77.7 thousand resumes from online sources and portals, their technical processing and classification using artificial intelligence was formed. Founded on the obtained data, the analysis of the labor market conditions in the textile industry of the Republic of Belarus has been carried out. It has been concluded that the labor market situation in the industry is tenser (as compared to the economy of Belarus in general), especially in such professional and qualification groups as managers, specialists, employees engaged in the provision of office services, and service sector employees. For the first time the skills demanded in the textile industry of Belarus have been classified and compared with the skills stock of job applicants, which can be taken into account in the activities of educational institutions engaged in training workers for the textile industry of the Republic of Belarus. It has been proved that the data from online portals supplement the information about the situation of the labor market, but need special processing. This is caused by the use of their own classifiers, which are not compatible with the national classifiers, the lack of representativeness of online data, duplication of information. The solution to these problems could be the formation of a single database of vacancies and resumes, built on unified methodological approaches and processed by unified classifiers. © 2022 Ivanovo State University of Chemistry and Technology. All rights reserved.",2022,Vankevich A.V.; Kalinovskaya I.N.,"Izvestiya Vysshikh Uchebnykh Zavedenii, Seriya Teknologiya Tekstil'noi Promyshlennosti",digitalization; labor market; labor market conditions; online job portals; skills; textile industry,Not Available,1,"Vitebsk State University of Technology, Belarus",10.47367/0021-3497_2022_5_27,Article,Russian
LABOR DIGITALIZATION IN EUROPE,"The purpose of this research is the study of the effects of digital transformation on employment and their possible correlation with the labor deficit. The labor deficit in European countries, and especially those of the European Union, is studied. Secondary data regarding Information and Communications Technology (ICT) specialist skills, the employment rate, and the Digital Economy and Society Index (DESI) are collected and analyzed. Data analysis reveals that, on one hand, the labor deficit is undeniable; however, the greatest deficit relates to the lack of digital competences. On the other hand, with rapid technological advancements and the introduction of Artificial Intelligence to the production process, a new environment will be formulated both at the economic and social level. This study is based on the secondary data of specific indexes; in future research, an empirical study will be conducted in European countries to study labor digitalization in depth, especially in the post-COVID-19 era, as this pandemic has increased digitalization in all countries. The adoption of new legislative and prescriptive frameworks is necessary to address the labor deficit. It is necessary to take measures both at the European and national level, as well as to effectively utilize programs and initiatives that will protect the preexisting workforce and will establish the ground for new employees. This can be activated mainly through training, either in the form of new education (reskilling) or re-education (upskilling). The originality of this research is based on the fact that it explores the impact of ICT Skills on employment and the dependence between ICT Skills and DESI. Its value is in revealing the structural problems of the labor market in Europe and the cross-country comparison of how digitalization can help to solve the labor deficit problem in European countries. © 2022 Mykolo Romerio Universitetas. All rights reserved.",2022,Polychronidou P.; Zoumpoulidis V.; Valsamidis S.,Intellectual Economics,DESI; digital skills; digital transformation; European countries; labor deficit,Not Available,8,"Department of Economics Sciences, International Hellenic University, Terma Magnesias Street, Serres, 621-24, Greece; Department of Accounting and Finance, International Hellenic University, Agios Loukas, Kavala, 65404, Greece",10.13165/IE-21-15-2-01,Article,English
An Interpretable Random Forest with SHAP Explanations for Multiclass Skill Level Classification Model in Malaysia's Labour Market,"Skill level classification is essential for effective human capital interventions, wage policy formulation and long-term workforce development. However, the black-box nature of machine learning algorithms limits the transparency and interpretability required for policymaking. This study aims to develop an accurate and interpretable multiclass skill level classification model for the Malaysian labour market. The model was constructed using secondary data from the Department of Statistics Malaysia’s 2023 Salaries and Wages Survey, covering 120,518 Malaysian workers. Data preprocessing involved cleaning, transformation and addressing class imbalance using the Synthetic Minority Oversampling Technique (SMOTE). Using the top nineteen XGBoost feature importance scores, a Random Forest model was selected due to its robust ensemble mechanism and trained using these features. The proposed model exhibits strong predictive performance across all metrics, achieving an accuracy of 0.8754, sensitivity of 0.8485, specificity of 0.9384 and F1-score of 0.8378. The interpretability of the most influential predictors was investigated using SHapley Additive exPlanations (SHAP) at both global and local levels, revealing the importance of salaries and wages activity, highest certificate and education level. These features provide deeper insights into understanding skill level classification across skilled, semi-skilled and low-skilled categories. The findings emphasise the significance of combining high predictive accuracy with transparent feature interpretability in labour market analysis. This study represents one of the initial labour market studies in Malaysia integrating Random Forest with SHAP. The proposed interpretable skill level framework can be utilised to facilitate evidence-based policymaking, targeted human capital interventions and workforce development planning in Malaysia. © Universiti Putra Malaysia Press",2026,Shabli R.; Ul-Saufie A.Z.; Gusnanto A.; Ibrahim N.,Pertanika Journal of Science and Technology,Classification; explainable artificial intelligence; feature selection; labour market; random forest; SHAP; skill level; XGBoost feature importance,Not Available,0,"Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA, Selangor, Shah Alam, 40450, Malaysia; Department of Statistics Malaysia, Ministry of Economy, Federal Government Administrative Centre, Wilayah Persekutuan, Putrajaya, 62514, Malaysia; Department of Statistics, School of Mathematics, Faculty of Engineering and Physical Sciences, University of Leeds, Leeds, LS2 9JT, United Kingdom",10.47836/pjst.34.2.25,Article,English
Does the Impact of Artificial Intelligence on Unemployment Among People With Disabilities Differ by Educational Level? A Dynamic Panel Threshold Approach,"Artificial intelligence (AI) technologies can significantly influence the employment and career development of people with disabilities, presenting both opportunities and challenges. On the one hand, AI can enhance accessibility, create new job opportunities, and assist in skill development. On the other hand, it can lead to potential job displacement and exacerbate barriers if not implemented inclusively. The objective of this research is to explore the implications of different artificial intelligence measures (artificial intelligence, machine learning, data science, big data) and unemployment among disabled people with different educational levels (primary, secondary, tertiary). The first difference generalized method of moments with threshold model confirms the nonlinear linkages between AI and unemployment. More specifically, AI reduces the unemployment rate among people with disability only in the upper regime, particularly for those with secondary and tertiary educational levels. For unemployed disabled people with primary education, there is little evidence of the role of AI in lowering unemployment in both regimes. The findings of the present empirical study are important for designing suitable policies and strategies for reducing the unemployment rates and achieving a sustainable future for people with disability.  © 2013 IEEE.",2024,Abid M.; Ben-Salha O.; Kanetaki Z.; Sekrafi H.,IEEE Access,Artificial intelligence; disability; nonlinearity; threshold; unemployment,Disability; Disabled people; Dynamic panels; Educational levels; Nonlinearity; People with disabilities; Threshold; Threshold approach; Unemployment; Unemployment rates; Adversarial machine learning,5,"Jouf University, College of Business, Department of Finance and Investment, Sakaka, 72388, Saudi Arabia; Northern Border University, College of Business Administration, Department of Finance and Insurance, Arar, 73213, Saudi Arabia; University of West Attica, Department of Mechanical Engineering, Athens, 12241, Greece; Jendouba University, Faculty of Law, Economics and Management Sciences, Department of Quantitative Methods, Jendouba, 8189, Tunisia",10.1109/ACCESS.2024.3456962,Article,English
